word,freq
わたくし,1897530
について,1345645
おこなう,1323813
くださる,1280965
ひつよう,1191544
もんだい,818010
によって,752883
いただく,689749
しゃかい,593449
かんけい,565801
いじょう,533777
がいしゃ,495127
せいかつ,488439
において,487881
ほうほう,482933
かんじる,482067
じぎょう,477349
きぎょう,463441
げんざい,452559
かつどう,438327
にんげん,437012
ないよう,436327
おおきい,436255
ぎじゅつ,361640
おおきな,355015
せんせい,350876
さーびす,343378
じょせい,341491
こんかい,334848
がっこう,330686
じっさい,324786
さまざま,324482
いっぱん,317744
けいざい,303893
もくてき,303285
ちりょう,298383
にとって,296917
ろうどう,295541
ちょうさ,292055
そういう,285432
いりょう,284136
しすてむ,283627
たいせつ,277449
けいやく,274554
しゃしん,271427
もとめる,267710
だいがく,263821
けいかく,262710
まったく,259232
あたえる,258519
における,258060
かんじゃ,255635
それぞれ,247526
さいしょ,244180
せんもん,242566
ひじょう,237901
かならず,237369
かいはつ,232922
けいけん,232638
おしえる,232117
せきにん,228577
あんぜん,227097
ちょっと,226756
みとめる,226610
いっしょ,226265
そうだん,224898
ひょうか,222322
げんいん,221191
ほとんど,216676
さくひん,216538
たとえば,216516
せつめい,214495
といった,211087
けいえい,210544
あるいは,208098
さいきん,208051
あわせる,207160
ことなる,206308
かのじょ,205364
もっとも,204818
ねんかん,204386
これから,203050
こくみん,202000
ひとびと,201764
はじめて,201610
かんたん,201477
いろいろ,201087
たいおう,198853
こうどう,198097
うんどう,198054
たのしい,197716
たいさく,196794
ぎょうむ,196720
こくさい,194725
かかわる,194297
もちろん,191417
しつもん,190408
せいしん,190305
とともに,190222
さぎょう,189258
つづける,189239
きじゅん,189145
はたらく,189082
けんこう,188481
かくにん,188121
つたえる,177123
すすめる,173672
たいへん,173078
のように,172694
とりひき,172337
けれども,171002
もちいる,170660
がくせい,170107
ねんきん,169235
うまれる,169007
われわれ,166736
せいさん,166530
はじめる,166359
そんざい,166156
はじまる,165410
さだめる,164960
だんせい,160922
ほうこう,158935
とうぜん,158313
しっかり,158129
ぽいんと,156189
こうぞう,156070
じんせい,155473
なかなか,154817
せんたー,151747
みなさん,150547
これらの,150191
しりょう,150141
たくさん,150062
がんばる,150051
びょうき,149943
とうしゃ,149818
げんじつ,148804
しゅるい,147745
しょうひ,147554
だんたい,146996
きんゆう,146958
ちかかっ,146079
せいひん,145801
ふくめる,144324
どうよう,143724
せいさく,143711
だんかい,142685
とくべつ,142459
ぜんこく,141839
どうじに,141432
あきらか,141063
ほうこく,140578
ちいさく,140345
かんがえ,139915
せってい,139448
ただしい,139343
てつづき,139182
かいがい,138961
れんらく,137465
つながる,137134
そのまま,136817
いっぽう,136784
へんこう,136271
はんばい,135962
ほうりつ,135957
ちゅうい,135581
みずから,135408
とりくむ,134872
がいこく,134298
しんたい,134118
とうろく,131494
こういう,129589
たのしむ,129431
かんぜん,129020
おぼえる,128820
ほんにん,127199
わすれる,126992
さんこう,124634
せんそう,124620
たんとう,124399
ぎんこう,124334
かいいん,123890
はんだん,123347
ぐるーぷ,122969
やくわり,122908
ほうじん,121508
ゆうこう,121341
こうした,121330
かたがた,120920
いめーじ,119454
くわしい,119180
うれしく,118966
おいしく,118171
たいけん,118055
しらべる,117760
しょくじ,117633
とうがい,117179
たしかに,116279
ぶっしつ,115018
さいぼう,113863
おんがく,113723
にたいし,113150
それから,112014
みなさま,111002
しんせい,110369
きんがく,110354
おねがい,109455
たてもの,109343
じょうき,108272
しゃいん,108188
ちきゅう,108049
にほんご,107668
すたっふ,107275
きびしく,106743
ちいさな,105959
しはらい,105856
しんじる,105086
さいだい,103700
けいたい,103275
りょこう,102740
どうぶつ,102449
なくなる,102409
きょうみ,102258
とくてい,101690
ねんれい,101597
てきせつ,99977
りょうり,99615
こうれい,99426
こくない,99139
そうごう,99039
たいせい,98518
かいぜん,98329
けっこう,98326
ともだち,98286
ほんとう,98040
ふぁいる,98007
まとめる,97970
くみあい,97770
こうりつ,96809
おもえる,96575
つかえる,96358
かんれん,96346
げんそく,95835
けってい,95776
むりょう,95103
けいこう,94733
びじねす,94684
こんなん,94478
かんかく,93883
とりくみ,93794
かいけつ,93791
みつける,93574
せんたく,93485
じゅんび,92960
けんとう,92703
こうもく,92633
いってい,92624
しんぶん,92575
どういう,92132
こうこう,91769
こうつう,91697
だいじん,91449
それでも,91225
とちゅう,90840
やさしい,90825
うんえい,90482
げんだい,90122
けんちく,90111
そのもの,89793
うしなう,89792
ひょうじ,89608
どりょく,89499
ぱそこん,89340
こたえる,89178
けっこん,88245
けっして,88226
みりょく,88062
せっけい,87830
ふくすう,87554
めいかく,87133
ゆうじん,86851
きちんと,86842
あんしん,86737
ちょうき,86434
かいとう,85956
はなれる,85950
しあわせ,85566
ひろがる,84884
ばらんす,84741
じむしょ,84153
しんけい,84098
ぶんせき,84094
ばんごう,83766
めーかー,83433
くらべる,83325
あんてい,83292
いべんと,83263
しんらい,83204
けいさん,83119
ねんだい,83105
ゆーざー,82743
でざいん,82649
ちなみに,82580
まちがい,82298
さいばん,82293
くわえる,81437
つうしん,80957
もらえる,80945
じっけん,80875
こうげき,80821
もとづく,80727
しんだん,80602
しはらう,80555
いわゆる,80146
かいかく,80034
へいきん,79955
むかえる,79663
ざいさん,79567
そだてる,79384
おはなし,79154
ふんいき,78921
ところが,78425
さいこう,78073
げんぱつ,77811
さくせい,77730
たかめる,77606
とにかく,77057
はっせい,76919
しんぱい,76676
おきゃく,76554
ですから,76419
あつまる,76214
たましい,76078
さいがい,75946
もともと,75819
はってん,75795
ゆうめい,75773
かんこう,75698
うちゅう,75524
おどろく,75349
ともなう,75269
しゅだん,75052
こうかん,75014
ほうしん,74995
しょるい,74672
じんざい,74557
ぜったい,74524
さくねん,74370
わりあい,74124
あつめる,74102
ぜんいん,73948
よろしく,73789
すとれす,73591
うんてん,73357
かくじつ,73219
ゆうする,73165
いっさい,72655
せんしゅ,72600
しょとく,72555
なんとか,72244
どんどん,71751
くうかん,71599
はたらき,71367
めんばー,71302
せいかく,71277
ざんねん,70975
ながれる,70945
ほんらい,70870
にんしき,70693
せいぶつ,70524
かんとく,70453
けんせつ,70429
じじょう,70276
ばんぐみ,70205
つとめる,70102
しばらく,69890
しょくば,69741
じつげん,69681
わがくに,69675
せいぞう,69435
はんたい,69407
すなわち,69208
もうける,68993
じゅけん,68853
かんしん,68737
こうせい,68568
はんのう,68535
というと,68447
せいげん,68395
じんぶつ,68324
すぽーつ,68111
せんきょ,68005
すいしん,67994
ちゃんと,67835
れんけい,67585
おそらく,67536
あつかう,67409
うんよう,67270
はつでん,67081
ちょさく,67021
こうこく,66942
きわめて,66885
しゅうい,66801
はっきり,66632
たのしみ,66455
ははおや,66435
こめんと,66413
すぐれる,66363
いろんな,66320
そんがい,66291
ふたたび,65595
おたがい,65555
じんこう,65540
みんかん,65391
かくしゅ,65130
さつえい,64964
えいぞう,64906
こうえん,64816
まいとし,64661
はいけい,64604
ほしょう,64155
けんさく,64103
しゅとく,63871
くんれん,63747
あくまで,63161
かかげる,63043
そうした,62943
よろこぶ,62916
ゆっくり,62912
にんてい,62872
ねんせい,62640
もしくは,62257
ほうしき,62214
たいかい,61987
じっせん,61844
そうぞく,61407
しっかん,61053
ていあん,60986
あらゆる,60964
きんにく,60904
ほうそう,60627
べんごし,60601
つたわる,60394
きょうし,60371
かんてん,60354
きょうぎ,60225
しゅほう,60212
かつよう,60171
あいする,60035
へいしゃ,59980
とうしょ,59589
でんとう,59316
けいしき,59262
きこえる,59231
けいぞく,59169
よういん,59081
ちぇっく,58915
ぜんてい,58890
まんぞく,58882
かかえる,58623
さいせい,58300
うごかす,57925
じんじゃ,57749
かっせい,57625
せんよう,57467
ひんしつ,57443
そもそも,57198
かわいい,57158
きっかけ,56772
てんかい,56651
もたらす,56512
ざいせい,56381
あんない,56213
うけとる,56183
かいせい,56019
かんせん,55945
こきゃく,55922
さぽーと,55916
まだまだ,55839
どうして,55679
めにゅー,55624
それでは,55413
けいさつ,55052
いくつか,55029
しょゆう,54646
せいけん,54629
こまかく,54449
かくだい,54378
けつえき,54370
ていねい,54159
とくしゅ,54144
みつかる,54050
によると,54015
あまりに,53896
ふくざつ,53884
しょうこ,53880
めりっと,53858
がいねん,53631
とらぶる,53532
はつげん,53348
はんぶん,53312
ちょうど,53246
かんしゃ,53180
せいこう,53146
いくせい,53051
はんざい,52645
おんせん,52641
あらわす,52618
はげしく,52326
かいけい,52165
ぜんかい,52128
したがう,52044
さいよう,51988
せいぶん,51933
にんしん,51817
こうしん,51814
ぶっけん,51706
とつぜん,51599
ぱたーん,51259
おさえる,50987
ろんぶん,50937
ぜんぜん,50871
せんぱい,50540
ちちおや,50505
よのなか,50495
いみする,50375
あくせす,50180
えいよう,50171
たたかう,50098
かさねる,50061
いじする,49907
じっせき,49844
ありかた,49826
まどぐち,49732
やくだつ,49702
めでぃあ,49535
しょぶん,49471
かいふく,49386
にむけて,49339
もんしょ,49318
さいしん,49307
すたいる,49269
それほど,49240
しゅじん,49199
こきゅう,49155
さーばー,49030
こうかい,48778
きんねん,48518
ちんぎん,48433
ごうかく,48408
おすすめ,48221
よろこび,48205
いったい,48159
ようぼう,48064
そなえる,47819
じちたい,47728
うりあげ,47722
おうじる,47721
てきよう,47656
まちがう,47618
かにゅう,47591
にちかん,47506
きちょう,47501
ひろげる,47335
しゅたい,47198
さいてき,47033
さくげん,46995
たかまる,46987
じんるい,46843
ほうもん,46829
たしょう,46695
そくてい,46610
うけつけ,46597
けんぽう,46475
うみだす,46452
おかしい,46410
はっけん,46366
たたかい,46211
たいよう,46135
いでんし,46087
にゅーす,46045
だんじょ,45969
きょうか,45951
ちかづく,45927
まいなす,45922
めんせつ,45873
とうじつ,45823
とらえる,45688
つうじる,45580
こそだて,45510
ひとこと,45445
じゅよう,45358
けつろん,45311
みんぞく,45311
じったい,45279
ぷろせす,45273
すぴーど,45205
どくりつ,45049
きゅうふ,44818
わかもの,44767
そうぞう,44730
はっこう,44649
とくせい,44586
おちつく,44557
ますます,44341
かいさい,44319
てきせい,43949
しちょう,43783
たすける,43664
ふっこう,43544
すぺーす,43517
のさいに,43498
せいのう,43480
にんずう,43473
うぃるす,43352
けいせい,43348
しりーず,43326
かんそう,42938
できごと,42938
いっそう,42883
えんじょ,42837
がっかい,42654
せいしつ,42583
たっする,42516
みんしゅ,42425
せみなー,42393
そうとう,42385
めーとる,42376
でんしゃ,42350
ひとしい,42234
かぶしき,42196
かいせつ,42142
めいわく,42140
めんきょ,41983
しんぞう,41861
やりかた,41857
れんあい,41815
あいさつ,41626
みなおし,41564
あふれる,41562
なっとく,41544
ほんしつ,41444
えんじん,41286
こうはん,41251
ようけん,41118
ほんけん,41108
しんさい,40986
こんきょ,40939
ようする,40891
へんさい,40650
でかける,40637
つきあう,40632
せんとう,40576
はったつ,40573
さいてい,40508
じっこう,40480
こだわる,40451
ようやく,40397
いっぱい,40372
ゆいいつ,40314
それらの,40252
たっせい,40225
こっかい,40136
てつどう,40121
へんどう,40069
まかせる,40038
だいすき,39980
ほんかく,39866
せいせき,39767
おおがた,39711
ていこう,39701
せんじつ,39679
にかけて,39601
てんのう,39593
しんよう,39588
こうちく,39461
そんなに,39365
ほうどう,39341
ほるもん,39282
げんかい,39265
けんめい,39229
ちゃんす,39202
れんぞく,39065
ごうけい,39033
まいつき,38998
ちょくご,38931
こうして,38813
しっぱい,38759
しゅよう,38734
ぜいきん,38698
いりぐち,38436
かんせつ,38305
こんなに,38273
きょてん,38241
とうけい,38138
しんこう,38108
かいてき,38058
いちばん,37796
ぶらんど,37636
なるべく,37615
おくれる,37590
おおはば,37549
ふきゅう,37461
ばいばい,37412
かくりつ,37263
めんせき,37255
とっきょ,37222
えいせい,37195
つかれる,37119
すいぶん,37084
わかれる,37048
すたーと,36898
てきすと,36840
ひとたち,36787
ふうけい,36649
たいとる,36625
きゅうよ,36541
りーだー,36533
ふかめる,36502
じんけん,36376
かくめい,36359
きんだい,36243
ゆうせん,36163
かんせい,36159
ゆうびん,36008
いったん,35966
ほうれい,35951
ろうじん,35918
なんだか,35915
てきとう,35722
よくじつ,35676
いちおう,35647
やくいん,35637
けっかん,35570
はんけつ,35534
じょうし,35506
ふかのう,35495
きょだい,35403
しんじつ,35222
おなじく,35213
めんどう,35151
きじゅつ,35131
あいであ,35119
さっそく,35099
したしい,35073
がくしゃ,35001
ふかけつ,34893
しんごう,34826
あつかい,34725
いちにち,34583
だいたい,34570
かいもの,34560
はっそう,34480
せいねん,34469
ずいぶん,34332
そしょう,34319
しょっぷ,34309
かくこく,34304
みちびく,34246
かいすう,34240
すーぱー,34166
およぼす,34163
おもいで,34159
めいれい,34139
ごぞんじ,34119
どくしゃ,34094
そくしん,34090
せつぞく,34011
ぼしゅう,33965
うかがう,33834
でじたる,33782
ながめる,33773
こうくう,33770
せっする,33743
くるしい,33697
たべもの,33660
こうけん,33632
ぜんしん,33609
せっかく,33477
こんぽん,33469
しきゅう,33443
そくめん,33435
みなおす,33428
じょうず,33378
てってい,33316
ちじょう,33296
あいてむ,33280
むしする,32999
かみさま,32957
しんけん,32949
ほうめん,32938
はんとし,32903
おちいる,32867
かなしく,32856
きゃりあ,32851
らいねん,32849
いきなり,32803
いっきに,32791
つぎつぎ,32735
たんなる,32555
こくりつ,32546
つながり,32521
しゃない,32373
てつがく,32371
だんだん,32308
ないかく,32260
きょうふ,32236
さいわい,32191
こーなー,32168
かいだん,32166
すいどう,32134
じゅこう,32045
こーひー,32044
こうてき,31964
